CUSTOMER#,INVOICE#,INV DATE,SHIP DATE,SHIP-TO NAME,SHIP-TO ADDR1,SHIP-TO ADDR2,SHIP-TO ADDR3,SHIP-TO CITY,SHIP-TO ST,SHIP-TO ZIP,SHIP-TO COUNTRY,PRODUCT#,QTY SHIP,UNIT PRICE,EXTENDED PRICE,UNIT COST,Vendor,DEALER CUST ID,DEALER PROD DESC
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870003,1,$24.50,24.50,$18.99,GCAMER,PJSDCO,"Paste Opaque, OA3 Initial Porcelain 3g GC"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870015,1,$24.50,24.50,$18.99,GCAMER,PJSDCO,"Paste Opaque, OD3 Initial Porcelain 3g GC"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876407,1,$34.83,34.83,$26.99,GCAMER,PJSDCO,Lustre Paste NF Enamel Effect
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875838,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Enamel E58, 20g Initial"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875839,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Enamel E59, 20g Initial"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875823,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Dentin DA3, 20g Initial"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875835,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Dentin DD3, 20g Initial"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875834,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Dentin DD2, 20g Initial"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,100030,10,$8.81,88.10,$6.83,CERAMCO,PJSDCO,"Vertex Adhesive 20gm,Super Thin, Dentsply"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576450,1,$33.88,33.88,$26.26,AMANN,PJSDCO,"Giroform pins 1,000 Amann"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576770,3,$54.35,163.05,$42.12,AMANN,PJSDCO,"Giroform quadrant base plate (100pcs.), Amann"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576790,3,$21.39,64.17,$16.58,AMANN,PJSDCO,"Giroform Adaptors for Vertex Articulators 100pcs, Amann"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576710,2,$101.82,203.64,$78.91,AMANN,PJSDCO,"Giroform Base plate Premium +L, 100pkg, Amann"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,3000-,1,$50.28,50.28,$38.97,HARVEST,PJSDCO,"DuraPattern LC Flow, Blue 3g syringe (3-pk) Harvest"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876401,8,$34.83,278.64,$26.99,GCAMER,PJSDCO,Lustre Paste NF Enamel Effect
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,38171,1,$128.44,128.44,$99.54,WHIPMI,PJSDCO,Formula 1 100g x 100 envelopes no liquid Whipmix
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,8024-01,6,$11.61,69.66,$9.00,WHOLPA,PJSDCO,"3D Vertex Like, Black Slotted"
PJSDCO,597391,06/09/17,06/09/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,31307,1,$73.29,73.29,$56.80,WHIPMI,PJSDCO,"LeanRock, Ivory 55lbs Type 4 Die Stone, Whipmix"
PJSDCO,599958,07/06/17,07/06/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,176710,2,$41.77,83.54,$32.37,AMANN,PJSDCO,Giroform-Tungston Carbide Bur for G
PJSDCO,628792,04/05/18,04/05/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,97037,1,$140.32,140.32,$108.75,VANIMA,PJSDCO,Vaniman Red Dot Motor
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,0CP04-128,1,$19.84,19.84,$15.38,KENDAL,PJSDCO,Opticide 3 Disinfectant Gallon/Pour Bottle
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,8510,2,$23.65,47.30,$18.33,HARVEST,PJSDCO,Super Peg II Custom Peg putty 12cc syringe (Pack of 4)
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876425,3,$79.99,239.97,$61.99,GCAMER,PJSDCO,Lustre Paste Neutral
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,1714-0110,2,$16.95,33.90,$13.14,RENFER,PJSDCO,"Takanishi brush, size 1/0 Renfert 2pcs"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,38171,1,$134.86,134.86,$104.52,WHIPMI,PJSDCO,Formula 1 100g x 100 envelopes no liquid Whipmix
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,5330E-B,3,$3.23,9.69,$2.50,KENDAL,PJSDCO,"Extra-Safe Ear-Loop Face Masks, Sky Blue, 50/bx 99.7% 0.1 micron"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,100030,2,$8.97,17.94,$6.95,CERAMCO,PJSDCO,"Vertex Adhesive 20gm,Super Thin, Dentsply"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,52818,2,$16.84,33.68,$13.05,KENDAL,PJSDCO,Lavender Medium Nitrile Gloves box of 250 Kimberly Clark
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,06014,1,$74.11,74.11,$57.44,BUFFAL,PJSDCO,#9 Std-Stiff (Bulk Pkg. of 144) Abbott-Robinson HP Brushes
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,Q9015,4,$7.78,31.12,$6.03,KENDAL,PJSDCO,Quala retainer boxes pack of 12
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,N021855,1,$68.19,68.19,$52.85,DENTS,PJSDCO,"PolyFlex Duplicating Material 7.5 liters, Dentsply"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,DF-PNK-MED-6PK,2,$43.37,86.74,$33.61,MYERSO,PJSDCO,"Duraflex Cartridges Shade: Pink, Medium 6/pack, CDM"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,40002,1,$51.10,51.10,$39.60,VACALON,PJSDCO,Disposable Press Plunger 13mm/emax (3 gr) Box of 50
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,56-2520,1,$41.79,41.79,$32.39,RENFER,PJSDCO,"Dynex Brilliant 0.25 x 20mm 10pcs, Renfert"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875871,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,GC Initial LISI Bleach BLD-1 light
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,31307,2,$73.29,146.58,$56.80,WHIPMI,PJSDCO,"LeanRock, Ivory 55lbs Type 4 Die Stone, Whipmix"
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,1013050-,1,$33.55,33.55,$26.00,GARRECO,PJSDCO,Tecstone White 50lbs Garreco
PJSDCO,622341,02/07/18,02/07/18,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,2102050,1,$64.52,64.52,$50.00,PANAST,PJSDCO,Aluminum Oxide White 50 micr. 50lbs
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,TPH,1,$7.35,7.35,$5.70,KENDAL,PJSDCO,Horse-Shoe Red/Blue Articulating Paper .004 12 sheets/bk -12bks/
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,SS416R,1,$15.42,15.42,$11.95,NORTH,PJSDCO,Parkell Accufilm I Red Articulating Paper
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,DS416RR,1,$17.55,17.55,$13.60,NORTH,PJSDCO,Parkell Accufilm II Red/Red Articulating Paper
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,00625,1,$42.79,42.79,$33.16,KERRLAB,PJSDCO,Sticky wax (120 sticks) Kerr Lab
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,HG18,1,$99.03,99.03,$76.75,SHOFU,PJSDCO,Dura-Green Stones Shape
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,HP0048,1,$19.42,19.42,$15.05,SHOFU,PJSDCO,Dura-Green Stones Shape WH6 1 dozen
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,1013050-,1,$30.37,30.37,$23.54,GARRECO,PJSDCO,Tecstone White 50lbs Garreco
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,38171,1,$124.68,124.68,$96.63,WHIPMI,PJSDCO,Formula 1 100g x 100 envelopes no liquid Whipmix
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,8024-01,2,$9.68,19.36,$7.50,WHOLPA,PJSDCO,"3D Vertex Like, Black Slotted"
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,98929,1,$16.32,16.32,$12.65,DENTS,PJSDCO,Dentsply Silicone Spray Release Agent 16oz
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,0CP04-128,1,$19.84,19.84,$15.38,KENDAL,PJSDCO,Opticide 3 Disinfectant Gallon/Pour Bottle
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,7176,1,$32.48,32.48,$25.17,HARVEST,PJSDCO,MS1 Master Sealer 8oz Refill
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,52818,1,$16.84,16.84,$13.05,KENDAL,PJSDCO,Lavender Medium Nitrile Gloves box of 250 Kimberly Clark
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,400-1054,1,$44.52,44.52,$34.50,SELEAL,PJSDCO,Mega Tray Pink LC 1.4mm Thin
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,02194,1,$25.90,25.90,$20.07,WHIPMI,PJSDCO,Special Liquid Concentrate
PJSDCO,544157,02/01/16,02/01/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,9557540,5,$9.02,45.10,$6.99,KEYSTO,PJSDCO,RED BioHazard Bag with Document Pouch (100) 5 x 8
PJSDCO,545278,02/11/16,02/11/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,76DF,1,$23.44,23.44,$18.17,HANDLE,PJSDCO,Filters for 76d handler dust collector
PJSDCO,545340,02/11/16,02/08/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,50046590,4,$72.74,290.96,$54.56,KULZER,PJSDCO,"Die-Keen 50lb Pink Carton Modern Materials, Kulzer"
PJSDCO,545340,02/11/16,02/08/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,50046590,1,$0.00,0.00,$54.56,KULZER,PJSDCO,"Die-Keen 50lb Pink Carton Modern Materials, Kulzer"
PJSDCO,545438,02/12/16,02/12/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,TPBR,1,$4.26,4.26,$3.30,CROSST,PJSDCO,Red/Blue Combo Articulating Paper .004 12 sheets/bk -12bks/box
PJSDCO,617814,12/22/17,12/22/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,08834,1,$144.63,144.63,$112.09,WHIPMI,PJSDCO,Vac-U-Mixer 875ml Whipmix #6600
PJSDCO,594188,05/12/17,05/12/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,001464,1,$39.99,39.99,$30.99,GCAMER,PJSDCO,"Gradia Dentin, DA1"
PJSDCO,594188,05/12/17,05/12/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576790,3,$21.39,64.17,$16.58,AMANN,PJSDCO,"Giroform Adaptors for Vertex Articulators 100pcs, Amann"
PJSDCO,594188,05/12/17,05/12/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,1670016,1,$16.32,16.32,$12.65,KEYSTO,PJSDCO,"Scotch Brite Coarse Miniature Brush PKG/12, Keystone"
PJSDCO,594188,05/12/17,05/12/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,100030,5,$8.81,44.05,$6.83,CERAMCO,PJSDCO,"Vertex Adhesive 20gm,Super Thin, Dentsply"
PJSDCO,594188,05/12/17,05/12/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876425,1,$79.99,79.99,$61.99,GCAMER,PJSDCO,Lustre Paste Neutral
PJSDCO,594188,05/12/17,05/12/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,P/CS/F/SEK,1,$361.25,361.25,$279.97,ASTRON,PJSDCO,ClearSplint Flexible Super Econo Kit (960g Powder/720g Liquid)
PJSDCO,594623,05/18/17,05/18/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576450,1,$33.88,33.88,$26.26,AMANN,PJSDCO,"Giroform pins 1,000 Amann"
PJSDCO,595974,05/30/17,05/30/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,MS-0202,1,$5.25,5.25,$4.07,MYERSO,PJSDCO,"TMS Swabs 10/pk, CDM"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876425,2,$79.99,159.98,$61.99,GCAMER,PJSDCO,Lustre Paste Neutral
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876407,1,$34.83,34.83,$26.99,GCAMER,PJSDCO,Lustre Paste NF Enamel Effect
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876413,1,$34.83,34.83,$26.99,GCAMER,PJSDCO,Lustre Paste NF Enamel Effect shade 8-Olive
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875821,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Dentin DA1, 20g Initial"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,875822,1,$33.53,33.53,$25.99,GCAMER,PJSDCO,"LiSi Dentin DA2, 20g Initial"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870165,1,$34.83,34.83,$26.99,GCAMER,PJSDCO,"GC Initial MC Correction Powder COR, 20g"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870071,1,$28.37,28.37,$21.99,GCAMER,PJSDCO,GC Initial MC Clear Fluorescence
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870052,1,$28.37,28.37,$21.99,GCAMER,PJSDCO,GC Inital MC Porcelain Dentin
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870004,1,$24.50,24.50,$18.99,GCAMER,PJSDCO,"Paste Opaque, OA3.5 Initial Porcelain 3g GC"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870002,1,$24.50,24.50,$18.99,GCAMER,PJSDCO,"Paste Opaque, OA2 Initial Porcelain 3g GC"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,870008,1,$24.50,24.50,$18.99,GCAMER,PJSDCO,"Paste Opaque, OB3 Initial Porcelain 3g GC"
PJSDCO,606410,09/05/17,09/05/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,576710,1,$90.48,90.48,$70.12,AMANN,PJSDCO,"Giroform Base plate Premium +L, 100pkg, Amann"
PJSDCO,606754,09/07/17,09/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,06164,1,$79.60,79.60,$61.69,BUFFAL,PJSDCO,#12 Std-Stiff (Bulk Pkg. of 144) Abbott-Robinson HP Brushes
PJSDCO,563423,07/27/16,07/27/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,R2F-5BK,1,$127.74,127.74,$99.00,TIGER,PJSDCO,Black/Clear C&B Boxes 2 with Foam inserted 500pcs
PJSDCO,550623,03/29/16,03/29/16,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,1013050-,2,$30.37,60.74,$23.54,GARRECO,PJSDCO,Tecstone White 50lbs Garreco
PJSDCO,600129,07/07/17,07/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,31307,1,$73.29,73.29,$56.80,WHIPMI,PJSDCO,"LeanRock, Ivory 55lbs Type 4 Die Stone, Whipmix"
PJSDCO,600129,07/07/17,07/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876400,4,$15.47,61.88,$11.99,GCAMER,PJSDCO,GC Initial IQ Refresh Liquid 8ml
PJSDCO,600129,07/07/17,07/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,DF-PNK-MED-6PK,1,$43.37,43.37,$33.61,MYERSO,PJSDCO,"Duraflex Cartridges Shade: Pink, Medium 6/pack, CDM"
PJSDCO,600129,07/07/17,07/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,876425,1,$79.99,79.99,$61.99,GCAMER,PJSDCO,Lustre Paste Neutral
PJSDCO,600129,07/07/17,07/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,8510,1,$23.19,23.19,$17.97,HARVEST,PJSDCO,Super Peg II Custom Peg putty 12cc syringe (Pack of 4)
PJSDCO,600129,07/07/17,07/07/17,PJ'S DENTAL LAB,APEX DENTAL LAB GROUP,1020 CORPORATE DRIVE,,SLINGER,WI,53086,,52818,1,$16.84,16.84,$13.05,KENDAL,PJSDCO,Lavender Medium Nitrile Gloves box of 250 Kimberly Clark
